Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000136,false,Rx,0,8,00,00,00,12,06,00,00,32,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
375000,0000013F,false,Rx,0,8,01,35,01,2F,00,00,00,37,
375000,0000017C,false,Rx,0,8,00,00,07,02,48,00,00,3C,
0,0000015A,false,Rx,0,8,00,00,00,43,00,00,00,2F,
0,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,1A,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,10,
0,000001B0,false,Rx,0,7,81,10,7F,FF,00,00,1D,00,
0,00000156,false,Rx,0,6,FF,EF,00,00,07,28,00,00,
377000,000001D0,false,Rx,0,8,30,7A,60,98,C1,A9,84,03,
377000,000001E7,false,Rx,0,4,1A,00,68,18,00,00,00,00,
377000,00000158,false,Rx,0,8,17,C3,06,C3,17,C3,97,25,
377000,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
377000,0000018E,false,Rx,0,3,00,06,38,00,00,00,00,00,
0,00000097,false,Rx,0,8,81,20,50,02,00,00,00,15,
0,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,12,06,00,00,05,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
384000,0000013F,false,Rx,0,8,01,34,01,2F,00,1E,00,0C,
385000,0000017C,false,Rx,0,8,00,00,07,05,48,00,00,0C,
0,000001DC,false,Rx,0,4,02,07,05,2E,00,00,00,00,
0,00000320,false,Rx,0,3,00,00,21,00,00,00,00,00,
385000,00000324,false,Rx,0,8,7C,46,23,72,46,DA,00,21,
385000,0000015A,false,Rx,0,8,00,00,00,43,00,00,00,3E,
385000,000001C0,false,Rx,0,7,00,00,10,00,00,00,37,00,
387000,0000037C,false,Rx,0,8,03,00,03,32,00,01,00,24,
387000,000003D7,false,Rx,0,8,B0,00,00,00,00,00,00,7F,
387000,00000156,false,Rx,0,6,FF,EF,00,00,07,37,00,00,
387000,000001A6,false,Rx,0,8,02,00,00,51,5B,80,00,34,
387000,00000294,false,Rx,0,8,00,15,00,03,FA,C1,20,26,
0,00000158,false,Rx,0,8,17,BE,06,C3,17,BE,97,30,
0,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
0,0000018E,false,Rx,0,3,00,08,09,00,00,00,00,00,
392000,00000097,false,Rx,0,8,80,E0,40,01,FE,00,00,2E,
394000,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
395000,00000305,false,Rx,0,2,0E,11,00,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,12,06,00,00,14,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
395000,0000013F,false,Rx,0,8,01,34,01,23,00,00,00,16,
395000,0000017C,false,Rx,0,8,00,00,07,05,48,00,00,1B,
395000,0000033D,false,Rx,0,4,01,40,00,3D,00,00,00,00,
395000,0000015A,false,Rx,0,8,00,00,00,43,00,00,00,01,
395000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,29,
395000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,2F,
395000,000001B0,false,Rx,0,7,80,D0,7F,FF,00,00,21,00,
397000,00000156,false,Rx,0,6,FF,EF,00,01,07,09,00,00,
397000,000001D0,false,Rx,0,8,30,6A,60,68,C2,C9,84,9B,
397000,000001E7,false,Rx,0,4,1A,00,68,27,00,00,00,00,
0,00000158,false,Rx,0,8,17,BF,06,C3,17,BF,97,01,
0,00000188,false,Rx,0,6,04,04,80,08,00,78,00,00,
398000,0000018E,false,Rx,0,3,00,04,1C,00,00,00,00,00,
403000,00000097,false,Rx,0,8,80,E0,40,01,FD,00,00,3E,
0,00000136,false,Rx,0,8,00,00,00,12,06,00,00,23,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
0,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
0,0000013F,false,Rx,0,8,01,35,01,24,FF,F6,00,20,
0,0000017C,false,Rx,0,8,00,00,07,04,48,00,00,2B,
0,000001DC,false,Rx,0,4,02,07,04,3E,00,00,00,00,
406000,0000015A,false,Rx,0,8,00,00,00,43,00,00,00,10,
406000,000001C0,false,Rx,0,7,00,00,10,00,00,00,0A,00,
407000,00000156,false,Rx,0,6,FF,EF,00,01,07,18,00,00,
407000,000001A6,false,Rx,0,8,02,00,00,51,5F,80,00,03,
0,00000158,false,Rx,0,8,17,C3,06,C5,17,C3,98,13,
0,00000188,false,Rx,0,6,04,04,80,08,00,4B,00,00,
409000,0000018E,false,Rx,0,3,00,06,29,00,00,00,00,00,
413000,00000097,false,Rx,0,8,80,A0,30,01,FD,00,00,06,
0,00000136,false,Rx,0,8,00,00,00,12,06,00,00,32,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
0,0000013F,false,Rx,0,8,01,34,01,23,00,28,00,3A,
415000,0000017C,false,Rx,0,8,00,00,07,08,48,00,00,36,
416000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
416000,0000015A,false,Rx,0,8,00,00,00,43,00,00,00,2F,
416000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,38,
416000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,3E,
417000,000001B0,false,Rx,0,7,80,90,7F,FF,00,00,34,00,
417000,00000156,false,Rx,0,6,FF,EF,00,00,07,28,00,00,
417000,000001D0,false,Rx,0,8,30,34,60,48,C2,81,86,09,
417000,000001E7,false,Rx,0,4,1A,00,68,36,00,00,00,00,
417000,0000030C,false,Rx,0,8,18,C0,28,46,01,60,90,1F,
418000,00000158,false,Rx,0,8,17,C9,06,C6,17,C9,98,25,
418000,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
419000,0000018E,false,Rx,0,3,00,0A,34,00,00,00,00,00,
423000,00000097,false,Rx,0,8,80,A0,30,01,FC,00,00,16,
424000,00000136,false,Rx,0,8,00,00,00,12,06,00,00,05,
424000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
424000,0000013F,false,Rx,0,8,01,34,01,23,00,00,00,07,
424000,0000017C,false,Rx,0,8,00,00,07,08,48,00,00,09,
424000,000001DC,false,Rx,0,4,02,07,08,0D,00,00,00,00,
426000,0000015A,false,Rx,0,8,00,00,00,43,00,00,00,3E,
