Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,10,
0,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,1E,00,
127000,000001D0,false,Rx,0,8,24,62,48,C4,91,B9,23,0D,
127000,000001DC,false,Rx,0,4,02,05,62,3C,00,00,00,00,
127000,000001E7,false,Rx,0,4,1A,00,68,18,00,00,00,00,
129000,00000156,false,Rx,0,6,00,01,00,02,07,3F,00,00,
129000,000001C0,false,Rx,0,7,00,00,10,00,00,00,28,00,
129000,000001A6,false,Rx,0,8,02,00,00,4C,5F,80,00,27,
0,00000097,false,Rx,0,8,80,60,10,01,FC,00,00,0D,
0,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
133000,00000158,false,Rx,0,8,11,E2,05,1A,11,E2,BD,2C,
133000,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
0,0000018E,false,Rx,0,3,00,04,2B,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0B,00,00,37,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
0,0000013F,false,Rx,0,8,02,2F,02,27,00,00,00,34,
0,0000015A,false,Rx,0,8,FF,F8,00,00,00,00,00,30,
135000,0000017C,false,Rx,0,8,00,00,05,62,48,00,00,38,
139000,00000156,false,Rx,0,6,00,02,00,01,07,02,00,00,
0,00000097,false,Rx,0,8,80,60,20,01,FD,00,00,1A,
0,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
0,00000158,false,Rx,0,8,11,E3,05,19,11,E3,BD,3A,
0,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
145000,0000018E,false,Rx,0,3,00,01,3D,00,00,00,00,00,
145000,00000136,false,Rx,0,8,00,00,00,18,0B,00,00,0A,
146000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
146000,0000013F,false,Rx,0,8,02,33,02,27,00,00,00,02,
146000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,08,
146000,0000017C,false,Rx,0,8,00,00,05,62,48,00,00,0B,
147000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,29,
147000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,2F,
147000,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,2D,00,
