Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
676000,000001A6,false,Rx,0,8,02,00,00,68,18,00,00,0E,
678000,00000158,false,Rx,0,8,20,8E,06,CA,20,8E,DE,03,
678000,00000188,false,Rx,0,6,05,05,80,08,00,76,00,00,
678000,00000305,false,Rx,0,2,0E,02,00,00,00,00,00,00,
680000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,2E,
680000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
680000,0000013F,false,Rx,0,8,FF,82,00,78,FF,EC,00,24,
681000,00000156,false,Rx,0,6,00,22,00,01,07,2E,00,00,
681000,0000017C,false,Rx,0,8,00,00,06,CA,02,00,00,24,
681000,000001DC,false,Rx,0,4,02,06,CA,1F,00,00,00,00,
681000,00000097,false,Rx,0,8,81,60,50,01,F9,00,00,29,
682000,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,01,
682000,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,28,
682000,0000018E,false,Rx,0,3,00,02,0F,00,00,00,00,00,
683000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,2E,
683000,000001B0,false,Rx,0,7,81,10,7F,FF,00,00,2C,00,
683000,000001D0,false,Rx,0,8,42,52,84,89,08,F2,12,8C,
683000,000001E7,false,Rx,0,4,1A,40,68,23,00,00,00,00,
684000,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
688000,00000158,false,Rx,0,8,20,91,06,CC,20,91,DE,18,
688000,00000188,false,Rx,0,6,05,05,80,08,00,49,00,00,
690000,000001C0,false,Rx,0,7,00,00,00,00,00,00,0B,00,
0,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,3D,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
0,0000013F,false,Rx,0,8,FF,82,00,78,00,00,00,3B,
0,00000156,false,Rx,0,6,00,22,00,00,07,3E,00,00,
691000,0000017C,false,Rx,0,8,00,00,06,CA,02,00,00,33,
691000,00000097,false,Rx,0,8,81,60,50,01,F9,00,00,38,
0,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,10,
0,0000018E,false,Rx,0,3,00,03,1D,00,00,00,00,00,
0,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
0,0000033D,false,Rx,0,4,00,00,00,05,00,00,00,00,
697000,000001A6,false,Rx,0,8,02,00,00,68,17,00,00,1E,
697000,00000294,false,Rx,0,8,00,15,00,03,EE,80,20,37,
698000,00000158,false,Rx,0,8,20,8D,06,CB,20,8D,DE,22,
699000,00000188,false,Rx,0,6,05,05,80,08,00,58,00,00,
700000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,00,
700000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
701000,0000013F,false,Rx,0,8,FF,82,00,78,00,28,00,04,
701000,00000156,false,Rx,0,6,00,22,00,01,07,00,00,00,
701000,0000017C,false,Rx,0,8,00,00,06,CE,02,00,00,02,
701000,00000097,false,Rx,0,8,81,60,50,01,FC,00,00,08,
701000,000001DC,false,Rx,0,4,02,06,CE,2A,00,00,00,00,
701000,0000015A,false,Rx,0,8,00,00,FF,36,00,00,00,2F,
701000,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,37,
703000,0000018E,false,Rx,0,3,00,01,2E,00,00,00,00,00,
703000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,3D,
703000,000001B0,false,Rx,0,7,81,10,7F,FF,00,00,3B,00,
703000,000001D0,false,Rx,0,8,42,5E,84,95,09,2A,11,E2,
703000,000001E7,false,Rx,0,4,1A,40,69,31,00,00,00,00,
706000,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
708000,00000158,false,Rx,0,8,20,93,06,CA,20,93,DE,34,
709000,00000188,false,Rx,0,6,05,05,80,08,00,67,00,00,
710000,000001C0,false,Rx,0,7,00,00,00,00,00,00,1A,00,
0,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,1F,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
0,0000013F,false,Rx,0,8,FF,82,00,78,FF,F6,00,1A,
0,00000156,false,Rx,0,6,00,22,00,00,07,10,00,00,
0,0000017C,false,Rx,0,8,00,00,06,CD,02,00,00,12,
0,00000097,false,Rx,0,8,81,20,50,01,FA,00,00,1D,
711000,0000015A,false,Rx,0,8,00,00,FF,79,00,00,00,37,
711000,0000018E,false,Rx,0,3,00,06,38,00,00,00,00,00,
715000,000001A6,false,Rx,0,8,02,00,00,68,17,00,00,2D,
717000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
718000,00000158,false,Rx,0,8,20,9A,06,CC,20,9A,DE,07,
718000,00000188,false,Rx,0,6,05,05,80,08,00,76,00,00,
720000,00000136,false,Rx,0,8,02,00,00,0C,00,00,00,2E,
720000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
720000,0000013F,false,Rx,0,8,FF,82,00,78,00,00,00,2C,
721000,00000156,false,Rx,0,6,00,22,00,01,07,2E,00,00,
721000,0000017C,false,Rx,0,8,00,00,06,CD,02,00,00,21,
721000,00000097,false,Rx,0,8,81,20,50,01,FA,00,00,2C,
721000,000001DC,false,Rx,0,4,02,06,CD,3A,00,00,00,00,
722000,0000030C,false,Rx,0,8,22,43,C6,FF,00,80,80,2C,
722000,00000320,false,Rx,0,3,00,00,30,00,00,00,00,00,
0,00000324,false,Rx,0,8,79,2A,32,66,00,08,00,37,
0,0000015A,false,Rx,0,8,00,00,FF,79,00,00,00,0A,
722000,0000018E,false,Rx,0,3,00,03,0E,00,00,00,00,00,
0,000001A4,false,Rx,0,8,00,69,00,00,00,00,00,0A,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,69,00,
0,000001B0,false,Rx,0,7,80,D0,7F,FF,00,00,03,00,
0,000001D0,false,Rx,0,8,42,58,84,41,09,B2,11,B3,
723000,000001E7,false,Rx,0,4,1A,40,68,05,00,00,00,00,
0,0000037C,false,Rx,0,8,DE,00,DE,31,00,00,00,35,
0,00000400,false,Rx,0,5,00,00,00,00,13,00,00,00,
724000,0000040C,false,Rx,0,8,14,0A,11,06,06,01,00,19,
724000,00000454,false,Rx,0,6,4D,F3,02,3A,50,13,00,00,
0,00000465,false,Rx,0,7,FF,FF,FF,FF,FF,FF,14,00,
